#KIND POS_X POS_Y POS_Z EUL_PSI EUL_THETA EUL_PHI
straight 0.0 0.0 0.0 -1.57079632679 -0.0 0.0
turntwist -0.0 1.0 0.0 -1.57079632679 -0.0 0.0
turn 1.0 1.0 -0.0 -1.57079632679 -0.0 -1.57079632679
turntwist 1.0 0.0 -0.0 1.57079632679 -1.57079632679 0
turn 1.0 -0.0 1.0 0.0 -0.0 1.57079632679
turntwist 1.0 1.0 1.0 1.57079632679 -0.0 3.14159265359
turn 0.0 1.0 1.0 1.57079632679 -0.0 -1.57079632679
turntwist 0.0 -0.0 1.0 1.57079632679 -1.57079632679 0
turntwist 0.0 -0.0 2.0 0.0 -0.0 0.0
turn 1.0 -0.0 2.0 -3.14159265359 -1.57079632679 0
turn 1.0 -0.0 3.0 0.0 -0.0 3.14159265359
turntwist 0.0 -0.0 3.0 -1.57079632679 -0.0 1.57079632679
turn 0.0 1.0 3.0 -1.57079632679 -0.0 0.0
turntwist 1.0 1.0 3.0 0.0 1.57079632679 0
turn 1.0 1.0 2.0 3.14159265359 -0.0 3.14159265359
turntwist 0.0 1.0 2.0 -1.57079632679 -0.0 1.57079632679
turn 0.0 2.0 2.0 -1.57079632679 -0.0 0.0
turntwist 1.0 2.0 2.0 -3.14159265359 -1.57079632679 0
turn 1.0 2.0 3.0 0.0 -0.0 3.14159265359
turntwist 0.0 2.0 3.0 -1.57079632679 -0.0 1.57079632679
turn -0.0 3.0 3.0 -1.57079632679 -0.0 0.0
turntwist 1.0 3.0 3.0 0.0 1.57079632679 0
turn 1.0 3.0 2.0 3.14159265359 -0.0 3.14159265359
turn -0.0 3.0 2.0 3.14159265359 1.57079632679 0
straight -0.0 3.0 1.0 3.14159265359 -0.0 -1.57079632679
turntwist -0.0 3.0 0.0 3.14159265359 -0.0 -1.57079632679
turn 0.0 2.0 0.0 1.57079632679 -1.57079632679 0
turntwist 0.0 2.0 1.0 0.0 -0.0 0.0
turn 1.0 2.0 1.0 0.0 1.57079632679 0
turntwist 1.0 2.0 0.0 3.14159265359 -0.0 1.57079632679
turn 1.0 3.0 0.0 -1.57079632679 -1.57079632679 0
turntwist 1.0 3.0 1.0 0.0 -0.0 0.0
turn 2.0 3.0 1.0 0.0 1.57079632679 0
turntwist 2.0 3.0 0.0 3.14159265359 -0.0 -1.57079632679
turn 2.0 2.0 0.0 1.57079632679 -1.57079632679 0
turntwist 2.0 2.0 1.0 0.0 -0.0 0.0
turn 3.0 2.0 1.0 0.0 1.57079632679 0
turntwist 3.0 2.0 0.0 3.14159265359 -0.0 1.57079632679
turn 3.0 3.0 0.0 -1.57079632679 -1.57079632679 0
straight 3.0 3.0 1.0 0.0 -0.0 0.0
turntwist 3.0 3.0 2.0 0.0 -0.0 3.14159265359
turn 2.0 3.0 2.0 0.0 -1.57079632679 0
turn 2.0 3.0 3.0 0.0 -0.0 0.0
turntwist 3.0 3.0 3.0 -1.57079632679 -0.0 -1.57079632679
turn 3.0 2.0 3.0 -1.57079632679 -0.0 3.14159265359
turntwist 2.0 2.0 3.0 3.14159265359 1.57079632679 0
turn 2.0 2.0 2.0 3.14159265359 -0.0 0.0
turntwist 3.0 2.0 2.0 -1.57079632679 -0.0 -1.57079632679
turn 3.0 1.0 2.0 -1.57079632679 -0.0 3.14159265359
turntwist 2.0 1.0 2.0 0.0 -1.57079632679 0
