#IDX KIND POS_X POS_Y POS_Z EUL_PSI EUL_THETA EUL_PHI
0 straight -15.5 -7.5 -7.5 0.0 -0.0 0.0
1 turn -15.5 -7.5 -6.5 0.0 -0.0 1.57079632679
2 turn -15.5 -6.5 -6.5 -1.57079632679 1.57079632679 0
3 turntwist -15.5 -6.5 -7.5 3.14159265359 -0.0 0.0
4 turn -14.5 -6.5 -7.5 -3.14159265359 -1.57079632679 0
5 turntwist -14.5 -6.5 -6.5 0.0 -0.0 -1.57079632679
6 turn -14.5 -7.5 -6.5 1.57079632679 1.57079632679 0
7 turntwist -14.5 -7.5 -7.5 3.14159265359 -0.0 0.0
8 turntwist -13.5 -7.5 -7.5 1.57079632679 -0.0 1.57079632679
9 turn -13.5 -6.5 -7.5 -1.57079632679 -0.0 0.0
10 turn -12.5 -6.5 -7.5 -1.57079632679 -0.0 -1.57079632679
11 turntwist -12.5 -7.5 -7.5 1.57079632679 -1.57079632679 0
12 turn -12.5 -7.5 -6.5 0.0 -0.0 1.57079632679
13 turntwist -12.5 -6.5 -6.5 1.57079632679 -0.0 3.14159265359
14 turn -13.5 -6.5 -6.5 1.57079632679 -0.0 -1.57079632679
15 turntwist -13.5 -7.5 -6.5 1.57079632679 -1.57079632679 0
16 turn -13.5 -7.5 -5.5 0.0 -0.0 1.57079632679
17 turntwist -13.5 -6.5 -5.5 -1.57079632679 -0.0 0.0
18 turn -12.5 -6.5 -5.5 -1.57079632679 -0.0 -1.57079632679
19 turntwist -12.5 -7.5 -5.5 1.57079632679 -1.57079632679 0
20 turn -12.5 -7.5 -4.5 0.0 -0.0 1.57079632679
21 turntwist -12.5 -6.5 -4.5 1.57079632679 -0.0 3.14159265359
22 turn -13.5 -6.5 -4.5 1.57079632679 -0.0 -1.57079632679
23 turn -13.5 -7.5 -4.5 -1.57079632679 -0.0 3.14159265359
24 straight -14.5 -7.5 -4.5 3.14159265359 1.57079632679 0
25 turntwist -15.5 -7.5 -4.5 3.14159265359 1.57079632679 0
26 turn -15.5 -7.5 -5.5 3.14159265359 -0.0 0.0
27 turntwist -14.5 -7.5 -5.5 1.57079632679 -0.0 1.57079632679
28 turn -14.5 -6.5 -5.5 1.57079632679 -0.0 3.14159265359
29 turntwist -15.5 -6.5 -5.5 0.0 -1.57079632679 0
30 turn -15.5 -6.5 -4.5 0.0 -0.0 0.0
31 turntwist -14.5 -6.5 -4.5 1.57079632679 -0.0 1.57079632679
32 turn -14.5 -5.5 -4.5 1.57079632679 -0.0 3.14159265359
33 turntwist -15.5 -5.5 -4.5 3.14159265359 1.57079632679 0
34 turn -15.5 -5.5 -5.5 3.14159265359 -0.0 0.0
35 turntwist -14.5 -5.5 -5.5 1.57079632679 -0.0 1.57079632679
36 turn -14.5 -4.5 -5.5 1.57079632679 -0.0 3.14159265359
37 turntwist -15.5 -4.5 -5.5 0.0 -1.57079632679 0
38 turn -15.5 -4.5 -4.5 0.0 -0.0 0.0
39 straight -14.5 -4.5 -4.5 1.57079632679 -0.0 1.57079632679
40 turntwist -13.5 -4.5 -4.5 -1.57079632679 -0.0 -1.57079632679
41 turn -13.5 -5.5 -4.5 1.57079632679 -0.0 0.0
42 turn -12.5 -5.5 -4.5 1.57079632679 -0.0 1.57079632679
43 turntwist -12.5 -4.5 -4.5 -1.57079632679 1.57079632679 0
44 turn -12.5 -4.5 -5.5 3.14159265359 -0.0 -1.57079632679
45 turntwist -12.5 -5.5 -5.5 -1.57079632679 -0.0 3.14159265359
46 turn -13.5 -5.5 -5.5 -1.57079632679 -0.0 1.57079632679
47 turntwist -13.5 -4.5 -5.5 -1.57079632679 1.57079632679 0
48 turn -13.5 -4.5 -6.5 3.14159265359 -0.0 -1.57079632679
49 turntwist -13.5 -5.5 -6.5 1.57079632679 -0.0 0.0
50 turn -12.5 -5.5 -6.5 1.57079632679 -0.0 1.57079632679
51 turntwist -12.5 -4.5 -6.5 -1.57079632679 1.57079632679 0
52 turn -12.5 -4.5 -7.5 3.14159265359 -0.0 -1.57079632679
53 turntwist -12.5 -5.5 -7.5 -1.57079632679 -0.0 3.14159265359
54 turn -13.5 -5.5 -7.5 -1.57079632679 -0.0 1.57079632679
55 turn -13.5 -4.5 -7.5 1.57079632679 -0.0 3.14159265359
56 turntwist -14.5 -4.5 -7.5 0.0 -1.57079632679 0
57 turntwist -14.5 -4.5 -6.5 0.0 -0.0 -1.57079632679
58 turn -14.5 -5.5 -6.5 1.57079632679 1.57079632679 0
59 turntwist -14.5 -5.5 -7.5 3.14159265359 -0.0 3.14159265359
60 turn -15.5 -5.5 -7.5 0.0 -1.57079632679 0
61 turntwist -15.5 -5.5 -6.5 0.0 -0.0 1.57079632679
62 turn -15.5 -4.5 -6.5 -1.57079632679 1.57079632679 0
63 turn -15.5 -4.5 -7.5 3.14159265359 -0.0 1.57079632679
64 straight -15.5 -3.5 -7.5 -1.57079632679 -0.0 0.0
65 turntwist -15.5 -2.5 -7.5 -1.57079632679 -0.0 0.0
66 turn -14.5 -2.5 -7.5 -1.57079632679 -0.0 -1.57079632679
67 turntwist -14.5 -3.5 -7.5 1.57079632679 -1.57079632679 0
68 turn -14.5 -3.5 -6.5 0.0 -0.0 1.57079632679
69 turntwist -14.5 -2.5 -6.5 1.57079632679 -0.0 3.14159265359
70 turn -15.5 -2.5 -6.5 1.57079632679 -0.0 -1.57079632679
