#IDX KIND POS_X POS_Y POS_Z EUL_PSI EUL_THETA EUL_PHI
0 straight 0.0 0.0 0.0 -1.57079632679 -0.0 0.0
1 turntwist -0.0 1.0 0.0 -1.57079632679 -0.0 0.0
2 turn 1.0 1.0 -0.0 -1.57079632679 -0.0 -1.57079632679
3 turntwist 1.0 0.0 -0.0 1.57079632679 -1.57079632679 0
4 turn 1.0 0.0 1.0 0.0 -0.0 1.57079632679
5 turntwist 1.0 1.0 1.0 1.57079632679 -0.0 3.14159265359
6 turn 0.0 1.0 1.0 1.57079632679 -0.0 -1.57079632679
7 turntwist 0.0 0.0 1.0 1.57079632679 -1.57079632679 0
8 turntwist 0.0 -0.0 2.0 0.0 -0.0 0.0
9 turn 1.0 -0.0 2.0 -3.14159265359 -1.57079632679 0
10 turn 1.0 -0.0 3.0 0.0 -0.0 3.14159265359
11 turntwist 0.0 -0.0 3.0 -1.57079632679 -0.0 1.57079632679
12 turn 0.0 1.0 3.0 -1.57079632679 -0.0 0.0
13 turntwist 1.0 1.0 3.0 0.0 1.57079632679 0
14 turn 1.0 1.0 2.0 3.14159265359 -0.0 3.14159265359
15 turntwist 0.0 1.0 2.0 -1.57079632679 -0.0 1.57079632679
16 turn 0.0 2.0 2.0 -1.57079632679 -0.0 0.0
17 turntwist 1.0 2.0 2.0 -3.14159265359 -1.57079632679 0
18 turn 1.0 2.0 3.0 0.0 -0.0 3.14159265359
19 turntwist 0.0 2.0 3.0 -1.57079632679 -0.0 1.57079632679
20 turn -0.0 3.0 3.0 -1.57079632679 -0.0 0.0
21 turntwist 1.0 3.0 3.0 0.0 1.57079632679 0
22 turn 1.0 3.0 2.0 3.14159265359 -0.0 3.14159265359
23 turn 0.0 3.0 2.0 3.14159265359 1.57079632679 0
24 straight 0.0 3.0 1.0 3.14159265359 -0.0 -1.57079632679
25 turntwist 0.0 3.0 0.0 3.14159265359 -0.0 -1.57079632679
26 turn 0.0 2.0 0.0 1.57079632679 -1.57079632679 0
27 turntwist 0.0 2.0 1.0 0.0 -0.0 0.0
28 turn 1.0 2.0 1.0 0.0 1.57079632679 0
29 turntwist 1.0 2.0 0.0 3.14159265359 -0.0 1.57079632679
30 turn 1.0 3.0 0.0 -1.57079632679 -1.57079632679 0
31 turntwist 1.0 3.0 1.0 0.0 -0.0 0.0
32 turn 2.0 3.0 1.0 0.0 1.57079632679 0
33 turntwist 2.0 3.0 0.0 3.14159265359 -0.0 -1.57079632679
34 turn 2.0 2.0 0.0 1.57079632679 -1.57079632679 0
35 turntwist 2.0 2.0 1.0 0.0 -0.0 0.0
36 turn 3.0 2.0 1.0 0.0 1.57079632679 0
37 turntwist 3.0 2.0 0.0 3.14159265359 -0.0 1.57079632679
38 turn 3.0 3.0 0.0 -1.57079632679 -1.57079632679 0
39 straight 3.0 3.0 1.0 0.0 -0.0 0.0
40 turntwist 3.0 3.0 2.0 0.0 -0.0 3.14159265359
41 turn 2.0 3.0 2.0 0.0 -1.57079632679 0
42 turn 2.0 3.0 3.0 0.0 -0.0 0.0
43 turntwist 3.0 3.0 3.0 -1.57079632679 -0.0 -1.57079632679
44 turn 3.0 2.0 3.0 -1.57079632679 -0.0 3.14159265359
45 turntwist 2.0 2.0 3.0 3.14159265359 1.57079632679 0
46 turn 2.0 2.0 2.0 3.14159265359 -0.0 0.0
47 turntwist 3.0 2.0 2.0 -1.57079632679 -0.0 -1.57079632679
48 turn 3.0 1.0 2.0 -1.57079632679 -0.0 3.14159265359
49 turntwist 2.0 1.0 2.0 0.0 -1.57079632679 0
50 turn 2.0 1.0 3.0 0.0 -0.0 0.0
51 turntwist 3.0 1.0 3.0 -1.57079632679 -0.0 -1.57079632679
52 turn 3.0 0.0 3.0 -1.57079632679 -0.0 3.14159265359
53 turntwist 2.0 0.0 3.0 3.14159265359 1.57079632679 0
54 turn 2.0 0.0 2.0 3.14159265359 -0.0 0.0
55 turn 3.0 0.0 2.0 0.0 1.57079632679 0
56 turntwist 3.0 0.0 1.0 3.14159265359 -0.0 1.57079632679
57 turntwist 3.0 1.0 1.0 1.57079632679 -0.0 3.14159265359
58 turn 2.0 1.0 1.0 1.57079632679 -0.0 -1.57079632679
59 turntwist 2.0 0.0 1.0 1.57079632679 1.57079632679 0
60 turn 2.0 0.0 0.0 3.14159265359 -0.0 1.57079632679
61 turntwist 2.0 1.0 0.0 -1.57079632679 -0.0 0.0
62 turn 3.0 1.0 0.0 -1.57079632679 -0.0 -1.57079632679
63 straight 3.0 0.0 0.0 1.57079632679 1.57079632679 0
